hex_id,geometry
881e346d27fffff,"POLYGON ((13.39906130003783 49.77417183628159, 13.39693201520057 49.7697664622327, 13.40203057247257 49.76665662821521, 13.40925858619305 49.76795199835131, 13.41138866388873 49.77235734596822, 13.40628993506904 49.77546734990185, 13.39906130003783 49.77417183628159))"
881e30d201fffff,"POLYGON ((13.34634786105171 49.76068455726514, 13.34422259351631 49.75627788358705, 13.34932149446937 49.75316996548504, 13.35654583634487 49.75446855139169, 13.35867189715275 49.75887519928988, 13.35357282287591 49.76198328708222, 13.34634786105171 49.76068455726514))"
881e346de5fffff,"POLYGON ((13.45476934258002 49.78011946489034, 13.45263605836593 49.77571500428345, 13.4577336581614 49.77260272048641, 13.46496471186343 49.77389472718674, 13.46709878831158 49.77829916071119, 13.46200101888748 49.78141161463856, 13.45476934258002 49.78011946489034))"
881e30d2d7fffff,"POLYGON ((13.45133469034274 49.75938736169583, 13.44920225375072 49.75498170426746, 13.45429847631181 49.75186852445749, 13.46152730518006 49.75316083203549, 13.46366053359832 49.75756646251429, 13.45856414138583 49.76067981238546, 13.45133469034274 49.75938736169583))"
881e30d23bfffff,"POLYGON ((13.37396705318396 49.74954846230206, 13.37184021645124 49.74514145064767, 13.37693765421449 49.74203159268789, 13.38416210108057 49.74332857664431, 13.38628973046996 49.74773556226021, 13.38119212039997 49.750845589979, 13.37396705318396 49.74954846230206))"
881e30d289fffff,"POLYGON ((13.42964901488489 49.75550737630436, 13.42751818064152 49.75110127555307, 13.43261466631777 49.74798896874677, 13.4398421566919 49.74928259273887, 13.44197378297055 49.75368866680095, 13.43687712690346 49.75680114358099, 13.42964901488489 49.75550737630436))"
881e30d049fffff,"POLYGON ((13.34591966598486 49.73243128694864, 13.34379525831464 49.72802302939423, 13.34889217736402 49.72491368041693, 13.35611367735018 49.72621241940318, 13.35823887767883 49.73062065131164, 13.35314178542609 49.73373016990066, 13.34591966598486 49.73243128694864))"
881e30d2d9fffff,"POLYGON ((13.44540536277484 49.7744222673433, 13.44327288935001 49.77001738975674, 13.44837031921621 49.76690527604122, 13.45560039250027 49.76819786985158, 13.4577336581614 49.77260272048641, 13.45263605836593 49.77571500428345, 13.44540536277484 49.7744222673433))"
881e30d2ebfffff,"POLYGON ((13.40796735989735 49.75162344248965, 13.40583812805535 49.7472168990091, 13.41093487520225 49.74410546513118, 13.41816102538441 49.74540040486857, 13.42029104946994 49.74980692192032, 13.41519413119329 49.7529185256843, 13.40796735989735 49.75162344248965))"
881e30d223fffff,"POLYGON ((13.34294656862263 49.73994797060434, 13.34082214428623 49.73554010250017, 13.34591966598486 49.73243128694864, 13.35314178542609 49.73373016990066, 13.35526700262559 49.73813801235785, 13.35016930758394 49.74124699753084, 13.34294656862263 49.73994797060434))"
881e30d237fffff,"POLYGON ((13.36758736995648 49.73632662222018, 13.36546136009898 49.73191880553982, 13.37055802243909 49.72880858396348, 13.37778086716633 49.73010600938826, 13.37990766947646 49.73451380016196, 13.37481083467004 49.73762419143839, 13.36758736995648 49.73632662222018))"
881e30d2b5fffff,"POLYGON ((13.44150811005794 49.72542821006027, 13.4393773485721 49.7210205507666, 13.44447142164274 49.71790611232983, 13.45169642609812 49.71919916327386, 13.45382797880004 49.72360679588235, 13.44873373589413 49.72672140425282, 13.44150811005794 49.72542821006027))"
881e30d233fffff,"POLYGON ((13.37693765421449 49.74203159268789, 13.37481083467004 49.73762419143839, 13.37990766947646 49.73451380016196, 13.38713149605798 49.73581064040675, 13.38925910805428 49.74021801561876, 13.38416210108057 49.74332857664431, 13.37693765421449 49.74203159268789))"
881e30d21dfffff,"POLYGON ((13.36802409318802 49.76457943219319, 13.36589722221682 49.7601731999414, 13.37099586622761 49.75706440885393, 13.37822155385888 49.75836168026028, 13.38034921789654 49.76276788647147, 13.37525040129989 49.76587684733777, 13.36802409318802 49.76457943219319))"
881e30d2e7fffff,"POLYGON ((13.40158049206644 49.73840300639105, 13.39945208782409 49.73399565734629, 13.40454806052879 49.73088386016825, 13.41177260882949 49.7321792422286, 13.41390180511194 49.73658656497634, 13.40880566111707 49.7396985319816, 13.40158049206644 49.73840300639105))"
881e30d2e5fffff,"POLYGON ((13.38925910805428 49.74021801561876, 13.38713149605798 49.73581064040675, 13.39222790004683 49.73269954615421, 13.39945208782409 49.73399565734629, 13.40158049206644 49.73840300639105, 13.39648391634889 49.74151427043181, 13.38925910805428 49.74021801561876))"
881e346d2bfffff,"POLYGON ((13.40545081119224 49.78738634570412, 13.40332069798585 49.78298177806356, 13.40842003054307 49.77987230756585, 13.41564964775735 49.78116723475422, 13.41778055402595 49.78557177583083, 13.41268105008162 49.78868141630388, 13.40545081119224 49.78738634570412))"
